"Club","LastName","FirstName","Pos","BaseSalary","Compensation"
"KC","Saad","Soony","F",46500,46500
"RSL","Saborio","Alvaro","F",360000,453333
"HOU","Salazar","Bryan","F",46500,47500
"RSL","Salcedo","Carlos","D",35125,35125
"VAN","Salgado","Omar","F",95000,136868
"SJ","Salinas","Shea","M",93975,100219
"NY","Sam","Lloyd","F",130000,130000
"CLB","Sanchez","Matias","M",190000,230000
"DAL","Sanchez","Richard","GK",46500,63500
"COL","Sanchez","Vincente","F",144000,186187
"RSL","Sandoval","Devon","F",35125,35125
"VAN","Sanvezzo","Camilo","F",210000,247500
"KC","Sapong","CJ","F",75000,92000
"DC","Saragosa","Marcelo","M",110000,110000
"HOU","Sarkodie","Kofi","D",1e+05,145500
"LA","Sarvas","Marcelo","M",157500,184375
"RSL","Saunders","Josh","GK",90000,95250
"CLB","Schoenfeld","Aaron","F",46500,46500
"RSL","Schuler","Chris","D",1e+05,117000
"SEA","Scott","Zach","D",50000,50000
"DC","Seaton","Michael","F",35125,38125
"CHI","Segares","Gonzalo","D",155000,168333
"DAL","Seitz","Chris","GK",90000,90000
"NY","Sekagya","Ibrahim","D",129999,158999
"NE","Sene","Saer","F",2e+05,211537
"COL","Serna","Dillon","M",46500,59500
"DC","Shanosky","Conor","D",75000,89218
"NE","Shuttleworth","Robert","GK",80004,84504
"DC","Silva","Luis","M",70400,105400
"POR","Silvestre","Mikael","D",180000,186666
"NE","Simms","Clyde","M",87500,90833
"KC","Sinovic","Seth","M-D",90000,96750
"CLB","Sloan","Shawn","M",35125,35125
"MTL","Smith","Blake","M",46500,80250
"NE","Smith","Donnie","M",35125,35125
"COL","Smith","Jamie","M",46500,46500
"NE","Soares","AJ","D",103345,143345
"NE","Soffner","Luis","GK",35125,35125
"LA","Sorto","Oscar","D",46500,48375
"CHV","Soto","Josue","M",35125,35125
"CHI","Soumare","Bakary","D",310000,350000
"CLB","Speas","Ben","F",62000,62000
"NY","Steele","Jonny","M",99996,107746
"LA","Stephens","Michael","M",84755,106005
"RSL","Stephenson","Khari","M",77500,81958
"RSL","Stertzer","John","M",46500,75250
"SJ","Stewart","Jordan","M-D",108000,108000
"COL","Sturgis","Nathan","D-M",93712,97962
"POOL","Stuver","Brad","GK",35125,35125
"DC","Syamsir","Alam","M",46500,46500
"HOU","Taylor","Jermaine","D",160000,169500
"CLB","Tchani","Tony","M",130000,155000
"VAN","Teibert","Russell","M",60000,65600
"COL","Thomas","Hendry","M",180000,2e+05
"TOR","Thomas","Michael","M",57750,60713
"VAN","Thomas","Simon","GK",35125,35125
"CHI","Thompson","Wells","M",105000,113125
"DC","Thorrington","John","M",150000,150000
"NE","Tierney","Chris","D-M",82265,83932
"MTL","Tissot","Maxim","D",35125,35125
"NE","Toja","Juan","M-F",275000,295000
"DAL","Top","Jonathan","F",46500,46500
"CHI","Tornaghi","Paolo","GK",46500,46500
"CHV","Torres","Erick","F",129996,129996
"COL","Torres","Gabriel","F",264000,276500
"PHI","Torres","Roger","M",121968,125093
"DC","Townsend","Casey","F",56650,91650
"SJ","Tracy","Marcus","F",46500,46500
"SEA","Traore","Djimi","D",120000,120000
"CLB","Trapp","Wil","M",1e+05,127000
"POR","Tucker-Gangnes","Dylan","D",35125,35125
"MTL","Ubiparipovic","Sinisa","M",57750,57750
"DAL","Ulloa","Victor","M",46500,49000
"POR","Urruti","Maximiliano","F",2e+05,2e+05
"PHI","Valdes","Carlos","D",321000,321000
"POR","Valencia","Jose Adolfo","F",50000,65000
"MTL","Valentin","Zarek","D",1e+05,152000
"POR","Valeri","Diego","M",4e+05,4e+05
"RSL","Velasquez","Sebastian","M",46500,46500
"CLB","Viana","Agustin","D-M",105000,131666
"CHI","Videira","Michael","M",46500,47125
"CHV","Villafana","Jorge","F",69300,70966
"LA","Villarreal","Joseph","M",46500,48375
"CLB","Wahl","Tyson","D",76000,80666
"LA","Walker","Kenney","M",46500,46500
"COL","Wallace","Anthony","D-M",66563,66563
"POR","Wallace","Rodney","M-D",125000,150000
"MTL","Warner","Collen","M-F",110000,137500
"DAL","Warshaw","Bobby","D",50820,62070
"CLB","Warzycha","Konrad","M",46500,46500
"VAN","Watson","Matt","M",68250,79251
"DAL","Watson","JeVaughn","M",1e+05,116875
"RSL","Watson-Siriboe","Kwame","D",53240,53240
"HOU","Weaver","Cam","F",1e+05,108406
"TOR","Welshman","Emery","F",46500,46500
"MTL","Wenger","Andrew","D/F",120000,222000
"PHI","Wheeler","Aaron","F",46500,46500
"DC","White","Ethan","D",75000,91000
"TOR","Wiedeman","Andrew","F",55000,65000
"CLB","Williams","Josh","D",52313,52313
"PHI","Williams","Sheanon","F",105000,110500
"DC","Willis","Joe","GK",46500,46500
"RSL","Wingert","Chris","D",160598,167598
"CLB","Withrow","Daniel","GK",35125,35125
"SJ","Wondolowski","Chris","M",550000,6e+05
"DAL","Woodberry","London","D",46500,46500
"NE","Woodbine","O'Brian","D",46500,49882
"DC","Woolard","Daniel","D",1e+05,1e+05
"NY","Wright-Phillips","Bradley","F",50000,92500
"COL","Wynne","Marvell","D",2e+05,285000
"SEA","Yedlin","DeAndre","D",50000,53500
"VAN","Young-Pyo","Lee","D",196900,231100
"SEA","Zakuani","Steve","F",135000,233000
"LA","Zardes","Gyasi","F",1e+05,173000
"SEA","Zavaleta","Eriq","F",65000,95600
"POR","Zemanski","Ben","M",73500,76000
"DAL","Zimmerman","Walker","D",75000,155100
"POR","Zizzo","Sal","F",76781,85987
"DAL","Zobeck","Kyle","GK",35125,35125
"KC","Zusi","Graham","F-M",350000,383250
