"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72"
"ACKERMAN (R NJ-5)",1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,NA,1,1,0,0,0,NA,0,1,0,1,0,0,0,0,0,0,NA,1,0,0,0,0,1,0,1,1,1
"PERKINS (R NJ-6)",1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,NA,1,NA,NA,1,1,1,NA,NA,1,1,0,1,NA,NA,1,NA,1,0,1,0,1,0,NA,1,1,NA,NA,NA,0,0,0,0,0,1,0,NA,0,0,0,NA,1,NA,0,0,0,1,0,1,1,0
"SEGER (R NJ-7)",1,0,0,0,0,1,1,1,1,0,1,NA,1,NA,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,NA,NA,1,0,1,0,1,0,NA,1,1,0,1,0,1,0,1,0,1,0,0,NA,NA,0,0,0,1,NA,0,0,0,1,NA,0,1,1
"MOORE (D NJ-8)",1,1,1,1,1,0,1,NA,0,NA,NA,NA,1,NA,NA,NA,1,1,0,NA,1,1,NA,NA,NA,1,1,0,0,NA,NA,NA,NA,1,1,NA,NA,NA,0,1,0,0,NA,0,NA,NA,NA,0,NA,NA,1,1,0,1,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"FORT (R NJ-9)",1,0,0,0,0,1,0,1,1,0,1,0,1,NA,NA,0,1,0,0,NA,1,0,1,1,0,NA,1,0,0,1,NA,1,NA,NA,1,0,1,0,1,0,1,0,1,0,NA,1,1,0,1,0,0,NA,0,0,1,NA,0,0,0,0,0,0,1,1,0,0,0,NA,0,0,1,1
"LEHLBACH (R NJ-10)",1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,NA,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,NA,NA,1,0,1,0,0,0,1,0,1,NA,0,0,0,0,NA,0,1,0,NA,0,0,1,0,0,1,1
"AUF (D NJ-11)",1,1,1,1,1,0,1,1,0,1,1,NA,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,1,1,0,1,NA,NA,NA,1,1,1,NA,0,0,1,0,0,0,0,NA,NA,NA,0,1,1,1,1,0,1,0,NA,0,1,0,0,NA,NA,1,NA,1,1,1,1,0,0,NA,1
"NORTON (D NJ-12)",1,1,1,1,1,0,1,1,0,1,1,1,1,NA,0,NA,1,1,0,1,NA,1,NA,1,1,1,NA,0,0,NA,0,0,0,NA,NA,NA,1,NA,0,1,0,0,1,0,1,NA,NA,0,1,1,1,NA,0,1,NA,1,0,1,0,0,0,0,1,1,NA,NA,1,1,0,0,1,1
"MORROW (D NM-1)",1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,NA,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,NA,1,0,1,1,1,NA,0,0,1,1,0,1,1,1,1,0,0
"BACON (R NY-1)",1,0,0,0,0,1,1,1,1,0,NA,NA,NA,1,0,NA,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,NA,NA,1,1,1,1,0,1,NA,1,0,NA,0,0,0,0,NA,1,0,1,0,0,0,0,0,0,NA,1,NA,NA,0,0,1,0,0,NA,1
"KINDRED (D NY-2)",1,1,1,1,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,NA,1,1,1,1,0,0,1,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,0,NA,1
"LINDSAY (D NY-3)",1,1,1,1,1,0,1,1,0,1,1,1,NA,1,0,0,1,1,0,1,1,1,1,1,NA,1,1,0,0,1,NA,NA,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,NA,NA,0,1,0,0,NA,NA,1,NA,1,1,1,1,0,0,1,1
"CULLEN (D NY-4)",1,1,1,1,1,0,1,1,0,1,1,1,1,NA,NA,0,1,1,0,1,1,1,1,1,NA,1,1,0,0,1,NA,0,0,1,1,1,1,NA,0,1,0,NA,1,0,1,1,1,1,1,1,1,0,0,1,NA,NA,0,1,0,0,0,NA,1,NA,NA,1,1,1,0,0,1,1
"BLACK (D NY-5)",1,1,1,1,1,0,1,NA,0,1,1,1,1,1,0,NA,1,1,0,NA,0,1,1,1,NA,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,NA,1,1,1,0,0,NA,0,1,NA,0,1,1,1,0,0,1,1
"SOMERS (D NY-6)",1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,NA,0,1,1,1,NA,NA,1,1,0,1,0,0,0,1,1,NA,1,0,0,1,1,0,0,NA,1,1,1,0,1,1,1,1,0,1,NA,NA,1,1,0,0,NA,NA,1,NA,NA,1,1,1,0,0,1,1
"QUAYLE (D NY-7)",1,1,1,1,1,0,1,NA,0,1,NA,1,NA,1,0,0,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,1,NA,NA,NA,0,1,1,0,1,0,NA,0,1,1,1,1,1,NA,0,1,NA,NA,0,1,0,0,NA,NA,1,NA,NA,1,1,NA,0,0,1,1
"CARLEY (D NY-8)",1,1,1,1,1,0,1,NA,0,1,1,1,NA,NA,NA,NA,1,1,0,NA,1,1,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,NA,1,1,NA,1,1,1,1,NA,0,1,NA,NA,0,1,NA,0,NA,NA,1,NA,NA,NA,1,1,0,0,NA,1
"O'CONNELL (D NY-9)",1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,NA,1,1,0,0,NA,NA,NA,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,NA,0,1,NA,1,0,1,0,0,NA,0,1,NA,NA,1,1,1,0,0,1,1
"CELLER (D NY-10)",1,1,1,1,1,0,1,1,0,0,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,0,1,NA,NA,0,1,1,1,NA,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,NA,0,1,1
"PRALL (D NY-11)",1,1,1,1,1,0,1,1,0,1,1,1,1,NA,1,0,1,1,0,1,1,1,1,NA,NA,1,1,0,0,NA,0,0,0,1,1,1,1,NA,0,1,0,0,NA,0,1,0,1,1,1,1,1,1,0,1,NA,NA,0,1,0,0,NA,0,1,NA,NA,0,1,1,0,0,1,1
"DICKSTEIN (D NY-12)",1,1,1,1,1,0,1,NA,0,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,NA,0,1,0,0,NA,1,NA,NA,NA,NA,0,1,1,0,0,0,1,0,NA,1,1,1,NA,NA,0,1,NA,NA,NA,NA,0,0,NA,0,1,NA,NA,1,1,1,0,0,1,1
"SULLIVAN (D NY-13)",1,1,1,1,1,0,1,1,0,1,NA,NA,NA,1,NA,0,NA,NA,0,NA,NA,1,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA,0,1,0,1,NA,1,NA,NA,NA,1,1,1,NA,NA,0,1,NA,1,NA,NA,NA,0,NA,NA,1,NA,NA,1,1,NA,0,0,NA,1
"SIROVICH (D NY-14)",1,1,1,1,1,0,1,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,0,0,NA,1,1,NA,1,0,0,1,0,1,NA,1,1,1,1,0,1,1,1,1,0,1,1,1,NA,NA,NA,0,NA,NA,1,NA,NA,1,1,NA,NA,0,1,1
"BOYLAN (D NY-15)",1,1,1,1,1,0,1,1,0,1,1,1,1,NA,1,1,1,1,0,NA,1,1,1,NA,NA,1,1,0,0,1,0,0,NA,1,1,NA,1,0,0,1,1,0,0,0,NA,NA,NA,1,1,1,1,1,0,1,1,NA,0,1,0,0,NA,NA,1,NA,NA,1,1,1,0,0,1,1
"O'CONNOR (D NY-16)",1,1,1,1,1,0,1,NA,0,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,1,1,0,0,0,1,0,1,NA,1,1,NA,NA,1,1,1,1,1,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,0,0,1,1
"COHEN (D NY-17)",1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,NA,NA,0,0,1,1,NA,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,NA,NA,0,NA,0,0,NA,0,1,NA,1,0,1,1,NA,0,1,1
"CAREW (D NY-18)",1,1,1,1,1,0,1,1,0,1,1,1,1,NA,NA,NA,1,1,0,NA,1,1,1,1,NA,NA,1,0,0,1,NA,NA,NA,1,1,NA,1,NA,0,1,0,1,0,1,1,0,NA,1,1,1,1,1,0,1,NA,1,0,1,0,0,NA,NA,1,NA,NA,1,1,1,0,0,1,1
"BLOOM (D NY-19)",1,1,1,1,1,0,1,NA,0,0,1,1,1,NA,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,0,1,0,0,NA,NA,1,NA,1,1,1,1,0,0,1,1
"LA (R NY-20)",1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1
"WELLER (D NY-21)",1,1,1,1,1,0,1,NA,0,NA,NA,1,1,1,0,NA,NA,NA,0,1,1,1,NA,NA,1,1,1,0,0,1,0,NA,0,1,1,0,0,NA,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,NA,NA,0,1,0,0,NA,0,1,NA,NA,1,NA,NA,0,0,NA,NA
"GRIFFIN (D NY-22)",1,NA,1,1,1,0,1,1,0,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,1,1,0,0,1,1,1,NA,NA,0,1,1,NA,NA,NA,0,1,0,1,1,1,1,NA,1,0,1,NA,1,NA,NA,NA,1,NA,0,1,1,1,1,1,1,0,0,1,1
"OLIVER (D NY-23)",1,1,1,1,1,0,1,1,0,NA,NA,1,1,1,NA,NA,1,1,0,1,1,1,1,1,NA,1,NA,1,1,1,NA,0,0,1,1,1,NA,NA,0,1,0,1,1,1,NA,0,1,0,1,1,1,1,0,1,NA,NA,NA,NA,0,0,NA,NA,1,NA,NA,1,1,NA,0,0,1,1
"FITZPATRICK (D NY-24)",1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,NA,NA,1,1,NA,NA,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,NA,NA,0,1,0,1,NA,NA,1,1,NA,1,1,1,0,0,1,1
"WAINWRIGHT (R NY-25)",1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,NA,1,0,1,1,0,NA,NA,0,0,1,1,1,NA,1,1,0,1,0,1,0,NA,NA,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,NA
"FISH (R NY-26)",1,0,0,NA,NA,NA,NA,1,1,0,1,0,1,NA,NA,0,1,1,0,NA,NA,NA,NA,1,1,NA,1,1,0,1,1,1,0,1,1,0,NA,NA,1,1,1,0,0,NA,NA,1,1,0,NA,1,1,1,0,0,1,1,0,0,0,0,NA,NA,1,1,NA,0,0,NA,0,1,1,1
"PRATT (R NY-27)",1,0,0,0,0,1,1,1,1,0,1,0,NA,1,0,NA,1,1,0,NA,1,0,NA,1,NA,1,1,0,NA,NA,1,1,0,NA,NA,0,1,NA,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,NA,NA,0,0,NA,NA,NA,1,NA,0,NA,0,1,0,1,1,1
"CORNING (D NY-28)",1,1,1,1,1,0,NA,1,0,1,1,1,1,1,NA,0,1,1,0,1,1,1,1,1,NA,1,1,0,1,NA,NA,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,NA,0,1,1,NA,NA,0,NA,NA,0,0,0,1,1,1,1,1,1,0,0,1,1
"PARKER (R NY-29)",1,0,0,0,0,1,1,1,1,NA,NA,0,NA,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,NA,1,0,1,0,NA,NA,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,NA,1,0,0,NA,0,1,0,1,1,1
"CROWTHER (R NY-30)",1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,NA,0,1,0,0,1,1,0,0,NA,1,1,0,NA,1,0,NA,NA,1,1,1,0,NA,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,NA,0,NA,NA,1,NA,0,NA,NA,NA,0,1,1,NA
"SNELL (R NY-31)",1,0,0,0,0,1,1,1,1,0,1,0,1,NA,NA,0,0,0,0,NA,NA,0,NA,1,0,1,1,0,NA,1,1,1,0,1,1,0,NA,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,NA,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1
"SWEET (R NY-32)",1,0,0,0,0,1,NA,1,1,NA,NA,0,1,NA,NA,NA,1,1,0,NA,1,0,NA,NA,NA,1,NA,0,0,NA,1,NA,0,1,1,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CULKIN (R NY-32)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,1,1,0,0,0,0,1,0,1,1,1
"DAVENPORT (R NY-33)",1,0,0,0,0,1,1,NA,1,0,1,1,1,1,0,0,1,NA,NA,1,1,0,1,1,NA,1,1,0,1,1,1,1,0,NA,NA,1,1,NA,1,0,1,0,1,NA,1,NA,1,0,NA,NA,0,1,0,0,NA,NA,0,0,0,0,NA,NA,1,NA,NA,NA,1,1,NA,1,1,1
"CLARKE (R NY-34)",1,0,0,0,0,1,0,1,1,0,1,0,NA,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,NA,NA,1,1,1,NA,1,0,1,0,1,0,1,0,1,1,1,0,0,0,NA,0,1,0,1,0,1,0,0,0,0,1,1,1,NA,0,0,1,0,1,1,1
"HANCOCK (R NY-35)",1,0,0,0,0,1,NA,1,1,0,1,NA,NA,NA,0,0,1,0,0,1,1,1,1,1,0,1,NA,1,0,1,1,1,0,1,1,0,1,NA,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1
"TABER (R NY-36)",1,0,0,0,0,1,1,1,1,NA,NA,0,NA,1,0,NA,0,0,0,NA,1,0,1,1,0,1,NA,0,0,1,1,1,1,NA,NA,0,1,0,1,0,1,0,1,0,NA,1,1,NA,0,0,0,0,1,0,1,0,0,0,0,1,0,NA,1,0,0,NA,0,1,0,1,1,1
"STALKER (R NY-37)",1,0,0,0,0,0,1,1,1,NA,NA,0,NA,NA,0,NA,1,1,0,1,NA,0,1,1,0,1,1,1,0,NA,1,1,NA,1,1,0,1,NA,1,1,NA,NA,NA,NA,NA,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,NA,NA,1,NA,0,0,NA,NA,0,1,1,1
"JACOBSTEIN (D NY-38)",1,1,1,1,1,0,1,NA,0,1,1,1,NA,1,0,NA,1,1,NA,1,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,0,NA,NA,1,0,1,0,1,1,0,1,0,1,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"SANDERS (R NY-39)",1,0,0,0,0,1,NA,NA,1,NA,NA,1,1,NA,NA,0,1,1,0,1,1,0,NA,NA,0,1,1,0,NA,NA,1,1,0,1,1,0,1,0,1,1,NA,NA,1,0,1,1,1,0,1,1,0,0,1,0,1,NA,0,0,0,0,NA,0,NA,1,0,0,0,1,0,1,NA,1
"DEMPSEY (R NY-40)",1,0,0,0,0,0,1,NA,1,NA,NA,NA,1,NA,NA,NA,0,0,0,NA,NA,NA,NA,1,NA,1,1,NA,0,1,NA,1,NA,NA,NA,0,1,NA,1,1,1,0,1,NA,1,NA,1,0,1,1,0,0,1,0,NA,NA,0,0,0,0,0,NA,1,NA,NA,0,0,NA,NA,1,NA,1
"MAC (R NY-41)",1,0,0,0,0,1,1,1,1,NA,NA,0,1,1,0,0,0,0,0,1,NA,1,NA,NA,0,1,1,0,0,1,1,1,NA,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEAD (D NY-42)",NA,NA,1,1,1,0,1,1,0,NA,NA,1,1,NA,NA,0,1,1,NA,1,1,1,1,1,NA,1,1,0,0,1,0,0,0,1,1,1,1,NA,1,1,0,0,NA,0,1,0,1,1,1,1,1,1,0,1,1,NA,NA,NA,1,0,NA,NA,1,NA,1,NA,1,NA,0,0,1,1
"REED (R NY-43)",1,0,0,0,0,1,1,1,1,0,1,0,1,1,NA,0,1,1,0,1,1,0,1,1,NA,NA,NA,0,0,1,1,1,0,1,1,0,1,0,1,1,1,NA,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,NA,NA,NA,NA,1,0,1,1,1
"WARREN (D NC-1)",1,0,1,1,1,0,1,1,0,NA,NA,1,1,1,1,0,1,1,0,1,1,0,1,1,NA,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,NA,NA,NA,0,1,0,0,NA,1,0,1,1,1,NA,0,0
"KERR (D NC-2)",1,0,1,1,1,0,1,1,0,NA,NA,1,1,1,1,0,1,0,1,1,1,0,NA,1,NA,0,1,1,1,NA,NA,NA,NA,1,0,1,1,0,0,1,0,0,NA,1,0,1,1,0,1,1,NA,NA,0,NA,0,0,NA,NA,1,0,1,0,0,NA,1,0,1,NA,1,1,0,0
"ABERNETHY (D NC-3)",1,1,1,1,1,0,1,1,0,1,1,1,1,NA,NA,0,1,1,1,1,NA,NA,1,1,1,NA,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,NA,0,1,1,1,1,0,1,0,1,0,NA,1,0,1,NA,0,1,1,0,NA,NA,1,1,0,0
"POU (D NC-4)",1,1,1,1,1,0,1,1,0,1,NA,1,NA,1,NA,NA,1,1,1,1,1,0,1,1,NA,0,NA,1,1,1,0,0,1,NA,NA,1,NA,NA,0,1,0,1,NA,1,1,0,NA,0,1,1,1,1,1,1,0,NA,0,1,1,0,NA,NA,0,NA,NA,0,NA,1,1,1,0,0
"STEDMAN (D NC-5)",1,1,1,1,1,0,1,NA,0,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,1,1,NA,NA,1,1,1,0,0,0,NA,0,1,1,NA,0,1,0,1,NA,1,1,1,1,0,1,1,1,1,0,1,0,NA,NA,NA,1,0,NA,NA,0,NA,NA,NA,NA,NA,1,1,NA,0
"LYON (D NC-6)",1,1,1,1,1,0,NA,0,0,NA,1,NA,NA,NA,NA,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,NA,1,0,0,1,NA,NA,0,1,NA,NA,NA,1,NA,NA,NA,0,1,1,NA,1,0,1,0,NA,0,1,1,0,NA,NA,NA,NA,1,NA,NA,1,1,NA,0,0
"HAMMER (D NC-7)",1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,NA,0,0,0,1,0,1,NA,1,1,NA,NA,0,1,1,NA,1,1,NA,0,NA,0,1,1,0,NA,NA,0,NA,NA,NA,NA,NA,1,1,NA,0
"DOUGHTON (D NC-8)",1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,NA,0,1,1,1,1,NA,NA,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,NA,0,1,0,0,1,1,0,NA,1,1,1,0,0
"BULWINKLE (D NC-9)",1,1,1,1,1,0,1,1,0,1,1,NA,1,1,0,0,1,1,1,1,1,0,1,1,NA,0,1,0,1,1,NA,NA,NA,NA,0,1,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,NA,0,0,1,1,0,1,1,1,NA,0,0
"WEAVER (D NC-10)",1,1,1,1,1,0,1,NA,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,NA,NA,0,1,1,1,1,0,1,0,0,NA,NA,1,0,NA,0,0,1,NA,0,1,0,1,1,NA,0
"BURTNESS (R ND-1)",1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,NA,1,1,1,1,1,1,1,0,NA,0,1,1,NA,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1
"HALL (R ND-2)",1,0,0,0,0,0,1,1,1,0,1,0,NA,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,NA,1,1,0,1,1,1,1,NA,0,1,0,1,0,1,1,NA,1,1,NA,1,1,NA,0,1,1,1,1,0,0,1,NA,1,1,1,NA,0,0,1,0,1,NA,1
"SINCLAIR (R ND-3)",1,0,1,1,1,1,0,1,0,NA,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,NA,0,0,1,0,1,NA,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,NA,NA,1,0,1,1,1
"LONGWORTH (R OH-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TATGENHORST (R OH-2)",1,0,0,0,0,0,1,NA,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,NA,1,1,1,0,1,1,1,0,1,1,0,NA,0,NA,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,NA,NA,0,0,0,0,NA,1,1,NA,NA,0,0,1,0,0,1,NA
"FITZGERALD (R OH-3)",1,0,0,0,NA,0,1,1,1,NA,NA,1,1,NA,0,0,NA,1,0,1,1,0,1,1,NA,1,1,NA,1,1,1,1,0,1,1,NA,1,1,1,1,1,0,1,0,NA,1,NA,0,1,1,1,0,0,1,1,NA,0,0,NA,0,1,1,1,1,1,0,1,NA,0,1,1,NA
"FITZGERALD (R OH-4)",1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,NA,0,NA,1,0,1,1,0,1,NA,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,NA,1,0,1,1,NA,0,1,0,1,NA,0,NA,0,0,0,0,1,0,0,0,0,1,0,1,1,1
"THOMPSON (R OH-5)",1,0,0,0,1,0,1,NA,1,NA,NA,NA,1,1,NA,NA,1,1,0,NA,NA,NA,NA,NA,0,1,1,0,0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,NA,1,NA,1,0,0,1,0,1,1,0
"KEARNS (R OH-6)",1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,NA,NA,1,0,1,1,1,1,0,NA,NA,NA,NA,NA,1,0,1,0,1,0,1,NA,1,0,0,1,0,0,1,0,1,NA,0,0,NA,0,0,1,1,NA,NA,0,0,1,0,1,NA,0
"BRAND (R OH-7)",1,0,0,1,0,1,1,1,1,0,1,1,NA,NA,0,0,1,1,NA,1,1,0,1,1,NA,NA,NA,1,0,NA,1,1,NA,NA,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,NA,0,1,NA,0,0,NA,NA,0,0,1,0,1,1,1
"FLETCHER (D OH-8)",1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,NA,1,NA,NA,1,NA,NA,0,0,NA,NA,0,NA,1,1,NA,1,NA
"CHALMERS (R OH-9)",1,0,0,0,1,0,1,1,1,0,1,NA,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,NA,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,NA,0,0,0,0,NA,1,1,0,0,1,1,0,0,1,1
"JENKINS (R OH-10)",1,0,1,0,0,0,1,1,1,0,1,NA,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,NA,1,1,0,1,1,0,1,NA,NA,NA,1,0,1,0,1,1,1,0,0,1,0,0,1,0,NA,NA,0,0,0,0,NA,0,1,1,0,0,0,1,0,1,1,0
"UNDERWOOD (D OH-11)",1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
